Q,C
Synonym of CORPULENT,Verbal
Synonym of  BRIEF,Verbal
Synonym of EMBEZZLE,Verbal
Synonym of VENT,Verbal
Synonym of AUGUST,Verbal
Synonym of CANNY,Verbal
"Choose best active/passive voice of ""After driving professor Kumar to the museum she dropped him at his hotel. """,Verbal
"Choose best active/passive voice of ""I remember my sister taking me to the museum """,Verbal
"Choose best active/passive voice of "" Who is creating this mess?""",Verbal
"Choose best active/passive voice of "" Darjeeling grows tea.""",Verbal
"Choose best active/passive voice of "" They greet me cheerfully every morning.""",Verbal
"Choose best active/passive voice of "" They have built a perfect dam across the river.""",Verbal
"Complete statement ""Despite his best efforts to conceal his anger ...... """,Verbal
"Complete statement ""Even if it rains I shall come means ...... """,Verbal
"Complete statement ""His appearance is unsmiling but ...... """,Verbal
"Complete statement ""She never visits any zoo because she is strong opponent of the idea of ...... """,Verbal
"Complete statement "" I felt somewhat more relaxed ......""",Verbal
"Complete statement "" The food in this hotel is no match to what were forced at late hours in Hotel Kohinoor""",Verbal
"Choose alternate word/sentance ""Extreme old age when a man behaves like a fool """,Verbal
"Choose alternate word/sentance ""That which cannot be corrected """,Verbal
"Choose alternate word/sentance ""The study of ancient societies """,Verbal
"Choose alternate word/sentance ""A person of good understanding knowledge and reasoning power """,Verbal
"Choose alternate word/sentance "" A person who insists on something""",Verbal
"Choose alternate word/sentance "" State in which the few govern the many""",Verbal
"Select the pair which has the same relationship ""DIVA:OPERA """,Verbal
"Select the pair which has the same relationship ""GRAIN:SALT """,Verbal
"Select the pair which has the same relationship ""THRUST:SPEAR """,Verbal
"Select the pair which has the same relationship ""PAIN:SEDATIVE """,Verbal
"Select the pair which has the same relationship ""LIGHT:BLIND """,Verbal
"Select the pair which has the same relationship ""WAN:COLOUR """,Verbal
A train running at the speed of 60 km/hr crosses a pole in 9 seconds. What is the length of the train?,Aptitude
"A train 125 m long passes a man, running at 5 km/hr in the same direction in which the train is going, in 10 seconds. The speed of the train is:",Aptitude
"	
The length of the bridge, which a train 130 metres long and travelling at 45 km/hr can cross in 30 seconds, is:",Aptitude
Two trains running in opposite directions cross a man standing on the platform in 27 seconds and 17 seconds respectively and they cross each other in 23 seconds. The ratio of their speeds is:,Aptitude
"A train passes a station platform in 36 seconds and a man standing on the platform in 20 seconds. If the speed of the train is 54 km/hr, what is the length of the platform?",Aptitude
"	
A sum of money at simple interest amounts to Rs. 815 in 3 years and to Rs. 854 in 4 years. The sum is:",Aptitude
"Mr. Thomas invested an amount of Rs. 13,900 divided in two different schemes A and B at the simple interest rate of 14% p.a. and 11% p.a. respectively. If the total amount of simple interest earned in 2 years be Rs. 3508, what was the amount invested in Scheme B?",Aptitude
A sum fetched a total simple interest of Rs. 4016.25 at the rate of 9 p.c.p.a. in 5 years. What is the sum?,Aptitude
"	
How much time will it take for an amount of Rs. 450 to yield Rs. 81 as interest at 4.5% per annum of simple interest?",Aptitude
"Reena took a loan of Rs. 1200 with simple interest for as many years as the rate of interest. If she paid Rs. 432 as interest at the end of the loan period, what was the rate of interest?",Aptitude
"	
A sum of Rs. 12,500 amounts to Rs. 15,500 in 4 years at the rate of simple interest. What is the rate of interest?",Aptitude
"	
An automobile financier claims to be lending money at simple interest, but he includes the interest every six months for calculating the principal. If he is charging an interest of 10%, the effective rate of interest becomes:",Aptitude
"	
A lent Rs. 5000 to B for 2 years and Rs. 3000 to C for 4 years on simple interest at the same rate of interest and received Rs. 2200 in all from both of them as interest. The rate of interest per annum is:",Aptitude
"Father is aged three times more than his son Ronit. After 8 years, he would be two and a half times of Ronit's age. After further 8 years, how many times would he be of Ronit's age?",Aptitude
The sum of ages of 5 children born at the intervals of 3 years each is 50 years. What is the age of the youngest child?,Aptitude
"A father said to his son, ""I was as old as you are at the present at the time of your birth"". If the father's age is 38 years now, the son's age five years back was:",Aptitude
"A is two years older than B who is twice as old as C. If the total of the ages of A, B and C be 27, then how old is B?",Aptitude
"Present ages of Sameer and Anand are in the ratio of 5 : 4 respectively. Three years hence, the ratio of their ages will become 11 : 9 respectively. What is Anand's present age in years?",Aptitude
"From a group of 7 men and 6 women, five persons are to be selected to form a committee so that at least 3 men are there on the committee. In how many ways can it be done?",Aptitude
In how many different ways can the letters of the word 'LEADING' be arranged in such a way that the vowels always come together?,Aptitude
In how many different ways can the letters of the word 'CORPORATION' be arranged so that the vowels always come together?,Aptitude
"Out of 7 consonants and 4 vowels, how many words of 3 consonants and 2 vowels can be formed?",Aptitude
In how many ways can the letters of the word 'LEADER' be arranged?,Aptitude
"A right triangle with sides 3 cm, 4 cm and 5 cm is rotated the side of 3 cm to form a cone. The volume of the cone so formed is:",Aptitude
"	
In a shower, 5 cm of rain falls. The volume of water that falls on 1.5 hectares of ground is:",Aptitude
"A hall is 15 m long and 12 m broad. If the sum of the areas of the floor and the ceiling is equal to the sum of the areas of four walls, the volume of the hall is:",Aptitude
66 cubic centimetres of silver is drawn into a wire 1 mm in diameter. The length of the wire in metres will be:,Aptitude
"A hollow iron pipe is 21 cm long and its external diameter is 8 cm. If the thickness of the pipe is 1 cm and iron weighs 8 g/cm3, then the weight of the pipe is:",Aptitude
"Find the greatest number that will divide 43, 91 and 183 so as to leave the same remainder in each case.",Aptitude
The H.C.F. of two numbers is 23 and the other two factors of their L.C.M. are 13 and 14. The larger of the two numbers is,Aptitude
"Six bells commence tolling together and toll at intervals of 2, 4, 6, 8 10 and 12 seconds respectively. In 30 minutes, how many times do they toll together ?",Aptitude
"Which of the following statements best describes the level of risk taking, innovation, imagination, and initiative by members of the group",Teamwork
The team leader has just made an impassioned plea to improve the level of cooperation that exists within the group. As the discussion develops you note,Teamwork
Describe the level of communication between team members,Teamwork
The team gathers for the monthly progress and problem report about reaching individual and departmental objectives. Describe the meeting,Teamwork
"Your team is involved in the annual planning, budgeting, and strategy setting meeting. During the critique period",Teamwork
 you prefer to work on your own,Teamwork
you like to have your work goals set by someone else.,Teamwork
you think other people work as hard as you do,Teamwork
you think you are always right,Teamwork
you find it easy to trust other people,Teamwork
The performance norm defines the level of…,Teamwork
A group of people working with common objectives or goals is known as a,Teamwork
Which of the following is not a benefit of teamwork?,Teamwork
 Which of the following is not a classification of a team?,Teamwork
The team which focuses its attention on improvements of a process that is already operating to a satisfactory level,Teamwork
Cross-functional teams are formed to solve complex problems.,Teamwork
Cross-functional teams discuss complex problems and break them down into parts and refer these to departmental teams and work teams of respective functions for further solution.,Teamwork
What is a key step in Teamwork?,Teamwork
What does Teamwork mean?,Teamwork
How do you use teamwork in your every day life?,Teamwork
What is not an important factor in teamwork?,Teamwork
What does teamwork mean to you. Write an one paragraph on it.,Teamwork
How do you describe a work group that comprises workers with demarcated tasks and distant line managers?,Teamwork
What is the term for the set of behaviours and tasks that a member of the group is expected to perform because he or she is a member of the group?,Teamwork
Which one of the following is not a characteristic of a team?,Teamwork
What is the term Tuckman uses for reaching consensus as a group?,Teamwork
According to Belbin (1981) an extroverted and enthusiastic person fits with what role?,Teamwork
What is T-group training?,Teamwork
What are group norms?,Teamwork
Which of the following actions describe the first trait of adaptability?,Adaptability
You have been working in the bakery of a grocery store for a few months and your boss asks you to consider training as a cashier. What response shows that you are willing to consider this change?,Adaptability
"All of the following actions are examples of being open to new experiences, EXCEPT:",Adaptability
"All of the following are good ways to deal with stress, EXCEPT",Adaptability
Which of the following statements is true about considering others’ viewpoints?,Adaptability
"All of the following traits are part of an adaptability skill set, EXCEPT",Adaptability
Which is NOT a trait of an adaptable employee?,Adaptability
"When someone is adaptable, they",Adaptability
Which of the following is a strategy that can be use to maintain adaptability in the workplace?,Adaptability
"When you suffer a setback, how does that emotionally affect you and your work?",Adaptability
Tell me about a time when you made a suggestion requesting change in an organization.,Adaptability
When have you had to adapt to change in the workplace?,Adaptability
When have you had to change a major component of your project due to new information being presented?,Adaptability
What was the biggest change you have had to deal with in your career?,Adaptability
Melissa is a good role model for her team mates. She wants to make sure her team does well and wins the conference championship. Her desire to attain this goal is described as:,Adaptability
Hasan and Hynds found a strong correlation between teacher motivation and cultural forces. Which of the following IS TRUE?,Adaptability
Which of the following IS NOT a model of motivation?,Adaptability
The goal of self-actualization is to:,Adaptability
Which individual believed that humans learn abilities and skills through experience and either produce or suppress those behaviors based upon the consequences of those behaviors?,Adaptability
You receive verbal praise from your caregivers when you behave appropriately. This positive reinforcement connects to motivation as a(n):,Adaptability
The three goals of goal theory and achievement motivation include all of the following EXCEPT,Adaptability
The three goals of goal theory and achievement motivation include all of the following EXCEPT,Adaptability
Cultural norms and worldviews influence whether people pursue mastery or performance goals. Which of the following illustrates this point?,Adaptability
"In their motivation model, Eccles and colleagues connect the achievement related choices students make to two sets of perceptual beliefs. The ability self-concept is:",Adaptability
Which of the following individuals introduced attribution theory into the literature?,Adaptability
Cultural models of the self shape the attributions people make about their behavior. Which of the following statements illustrates this point?,Adaptability
Which of the following IS TRUE about incentives?,Adaptability
There is support for the position that cultural practices at home intersect with socioeconomic factors. Fernald and colleagues found that:,Adaptability
Communication is a non stop______________,Communication
Communication is a part of ________ skills.,Communication
The _______________ is the person who transmits the message.,Communication
_____________ is the person who notices and decodes and attaches some meaning to a message. ,Communication
Message is any signal that triggers the response of a _________,Communication
The response to a sender’s message is called _________,Communication
___________ context refers to the relationship between the sender and the receiver   ,Communication
___________ context refers to the similarity of backgrounds between the sender and the receiver.,Communication
_________ refers to all these factors that disrupt the communication.,Communication
Environmental barriers are the same as ______ noise.,Communication
Our dress code is an example of _____________ communication.,Communication
Communication strengthens _______ & ______________ relationship is an organization.,Communication
"_______________ communication includes tone of voice body language, facial expressions etc.",Communication
"Letter, e-mail telephone are examples of __________",Communication
Understanding __________different parts of speech forms the base of leaning grammar,Communication
It is of paramount importance that one need to construct a __________sentence in the day to day affairs,Communication
A__________way be defined as the name of a person place or thing  ,Communication
The person who transmits the message is called the ____ or,Communication
Once the message is encoded in a desired format it is transferred through a medium called ______,Communication
"The nouns which cannot be felt, seen or heard are called __________",Communication
The information which is transferred to the receiver has to be interpreted this process is called _____,Communication
Personifications of  strength and violence are considered as  ________ gender. ,Communication
White talking to friends you do not pay attention to the skills of _____ Communication.,Communication
The _______ are used to present using overhead projectors.,Communication
___ aims at making people work together for the common good of the organization.,Communication
 ___ describes all forms of human communication that are not verba,Communication
"Normally communication is ___, wherein the information or message is transferred from one person to another.",Communication
The ___ in the usage of words may be a serious barrier to effective communication.,Communication
 You need to apply for leave at work? Which method of communication will you use?,Communication
 Which of these is a positive (good) facial expression?,Communication
Which of these are examples of positive feedback?,Communication
Please select your gender,Personality
What is your ethnicity?,Personality
Do you like meeting new people?,Personality
Do you like helping people out?,Personality
What do you if you have been unjustly blamed for something you didn’t do?,Personality
How long does it take you to calm down when you’ve been angry?,Personality
Are you easily disappointed?,Personality
Do you help people only if you think you’d get something in return?,Personality
Do you set up long term goals?,Personality
Are you easily fazed?,Personality
How often do you go out into a social environment or a public place?,Personality
Are you considerate of other people’s feelings?,Personality
Are you always busy?,Personality
Do you like solving complex problems?,Personality
Do you make people feel welcome?,Personality
Is your go-to reaction in a problem to cheat your way out of it?,Personality
Do you feel overwhelmed often?,Personality
How often do you travel?,Personality
Do you prefer familiarity over unfamiliarity?,Personality
Are you generally passionate about social causes?,Personality
Do you like being pushy?,Personality
"Do you tend to always see the good in people, no matter what the circumstance is?",Personality